date,PCE inflation (QoQ)
2012 Q3,1.158923013
2012 Q4,1.708272674
2013 Q1,1.621867665
2013 Q2,1.426082799
2013 Q3,1.409228351
2013 Q4,2.022482825
2014 Q1,1.307592513
2014 Q2,1.815719563
2014 Q3,1.328370918
2014 Q4,1.084979405
2015 Q1,0.93588916
2015 Q2,1.627766374
2015 Q3,1.334883648
2015 Q4,0.862052858
2016 Q1,1.783044102
2016 Q2,2.016756941
2016 Q3,1.912744267
2016 Q4,1.402378728
2017 Q1,1.13255756
2017 Q2,1.947363694
2017 Q3,1.49040862
2017 Q4,2.136920856
2018 Q1,2.462268854
2018 Q2,1.959688071
2018 Q3,1.377337995
2018 Q4,2.008426929
2019 Q1,0.533881723
2019 Q2,2.447435994
