Date,gdp.log,real.rate.hlw,real.rate.lw03,real.rate.mean.PCE.Core,real.rate.CorePCE.Annual,inflation.hlw,inflation.lw03,inflation.mean.PCE.Core,inflation.CorePCE.Annual,inflation.expectations.hlw,inflation.expectations.lw03,inflation.expectations.mean.PCE.Core,inflation.expectations.CorePCE.Annual,interest.rate,tbill3m.eff,fed.funds.eff,new.ny.discount.eff,gdp.log.GDPCA,gdp.log.Annual,gdp.log.long
1960-01-01,8.09430426639762,2.05381645119259,2.05381645119259,2.05381645119259,2.05381645119259,1.2529856252678,1.2529856252678,1.2529856252678,1.2529856252678,2.08486523737159,2.08486523737159,2.08486523737159,2.08486523737159,4.13868168856417,4.00303274162885,4.06747299009373,4.13868168856417,8.08307233489674,8.09129524361189,8.09430426639762
1960-04-01,8.08889579923307,2.0820572056459,2.0820572056459,2.0820572056459,2.0820572056459,1.52470790358515,1.52470790358515,1.52470790358515,1.52470790358515,1.93488013501907,1.93488013501907,1.93488013501907,1.93488013501907,4.01693734066497,3.08470708911948,3.82070660919636,4.01693734066497,8.08703411459781,8.09526105363108,8.08889579923307
1960-07-01,8.09377661555831,1.67016977607619,1.67016977607619,1.67016977607619,1.67016977607619,1.55290308226641,1.55290308226641,1.55290308226641,1.55290308226641,1.65784239987334,1.65784239987334,1.65784239987334,1.65784239987334,3.32801217594954,2.42019968799414,3.02592010787466,3.32801217594954,8.09141532290739,8.09964671894345,8.09377661555831
1960-10-01,8.08085920429057,1.67723442190345,1.67723442190345,1.67723442190345,1.67723442190345,1.31353491811212,1.31353491811212,1.31353491811212,1.31353491811212,1.41103288230787,1.41103288230787,1.41103288230787,1.41103288230787,3.08826730421132,2.36547469610919,2.35419481921979,3.08826730421132,8.09622853199823,8.10446482451144,8.08085920429057
1961-01-01,8.08758681370022,1.82058766217949,1.82058766217949,1.82058766217949,1.82058766217949,0.679572664163652,0.679572664163652,0.679572664163652,0.679572664163652,1.26767964203183,1.26767964203183,1.26767964203183,1.26767964203183,3.08826730421132,2.40874828019166,2.03336131493985,3.08826730421132,8.10096679021412,8.10920790295697,8.08758681370022
1961-04-01,8.10441913792283,1.87236617963888,1.87236617963888,1.87236617963888,1.87236617963888,1.31759383374759,1.31759383374759,1.31759383374759,1.31759383374759,1.21590112457244,1.21590112457244,1.21590112457244,1.21590112457244,3.08826730421132,2.36257775668192,1.77569451348814,3.08826730421132,8.10565685223379,8.11390273617628,8.10441913792283
1961-07-01,8.12343360558445,1.82768542317129,1.82768542317129,1.82768542317129,1.82768542317129,1.73162610813676,1.73162610813676,1.73162610813676,1.73162610813676,1.26058188104003,1.26058188104003,1.26058188104003,1.26058188104003,3.08826730421132,2.36299301683425,1.71911538102107,3.08826730421132,8.11690187138512,8.12515919488452,8.12343360558445
1961-10-01,8.14285487890624,1.91349332529911,1.91349332529911,1.91349332529911,1.91349332529911,0.970303309600856,0.970303309600856,0.970303309600856,0.970303309600856,1.17477397891222,1.17477397891222,1.17477397891222,1.17477397891222,3.08826730421132,2.5252178951946,2.46072625559242,3.08826730421132,8.13488396015367,8.14315957683026,8.14285487890624
1962-01-01,8.16053367592991,1.71571360881811,1.71571360881811,1.71571360881811,1.71571360881811,1.47069153008764,1.47069153008764,1.47069153008764,1.47069153008764,1.37255369539321,1.37255369539321,1.37255369539321,1.37255369539321,3.08826730421132,2.79929168942605,2.52498189171932,3.08826730421132,8.15235976587586,8.16065316068794,8.16053367592991
1962-04-01,8.16952980684663,1.66125813636606,1.66125813636606,1.66125813636606,1.66125813636606,1.53541572355577,1.53541572355577,1.53541572355577,1.53541572355577,1.42700916784526,1.42700916784526,1.42700916784526,1.42700916784526,3.08826730421132,2.79227017747912,2.67518403121088,3.08826730421132,8.16944183574147,8.1777526081416,8.16952980684663
1962-07-01,8.181740035356,1.76685753734303,1.76685753734303,1.76685753734303,1.76685753734303,1.30922850422891,1.30922850422891,1.30922850422891,1.30922850422891,1.32140976686829,1.32140976686829,1.32140976686829,1.32140976686829,3.08826730421132,2.92186483415249,2.92753581070997,3.08826730421132,8.18260421124329,8.19092837372675,8.181740035356
1962-10-01,8.18502324665076,1.82157816314013,1.82157816314013,1.82157816314013,1.82157816314013,0.751420806412434,0.751420806412434,0.751420806412434,0.751420806412434,1.26668914107119,1.26668914107119,1.26668914107119,1.26668914107119,3.08826730421132,2.89317446979536,3.0079838040594,3.08826730421132,8.19165294703244,8.19998631479397,8.18502324665076
1963-01-01,8.19588015136726,1.85715421098763,1.85715421098763,1.85715421098763,1.85715421098763,1.32838733869768,1.32838733869768,1.32838733869768,1.32838733869768,1.2311130932237,1.2311130932237,1.2311130932237,1.2311130932237,3.08826730421132,2.99030533963676,3.05227522128282,3.08826730421132,8.2005224734869,8.20886486421684,8.19588015136726
1963-04-01,8.20703889947583,1.86402433114885,1.86402433114885,1.86402433114885,1.86402433114885,1.50793524291087,1.50793524291087,1.50793524291087,1.50793524291087,1.22424297306247,1.22424297306247,1.22424297306247,1.22424297306247,3.08826730421132,3.02546473822731,3.05037453453276,3.08826730421132,8.20926592790433,8.21761721334961,8.20703889947583
1963-07-01,8.22878498872903,2.24063060351174,2.24063060351174,2.24063060351174,2.24063060351174,1.53038508140349,1.53038508140349,1.53038508140349,1.53038508140349,1.27953211735612,1.27953211735612,1.27953211735612,1.27953211735612,3.52016272086786,3.39430149110931,3.4320210326878,3.52016272086786,8.22104716789984,8.22941043839944,8.22878498872903
1963-10-01,8.23531955065029,2.03768339935645,2.03768339935645,2.03768339935645,2.03768339935645,1.93114682439959,1.93114682439959,1.93114682439959,1.93114682439959,1.57446362185291,1.57446362185291,1.57446362185291,1.57446362185291,3.61214702120936,3.60837931480096,3.56283513083662,3.61214702120936,8.23591010375944,8.24428849432228,8.23531955065029
1964-01-01,8.25618316954816,1.9491836400279,1.9491836400279,1.9491836400279,1.9491836400279,1.68238637601189,1.68238637601189,1.68238637601189,1.68238637601189,1.66296338118146,1.66296338118146,1.66296338118146,1.66296338118146,3.61214702120936,3.64366409828616,3.573254506456,3.61214702120936,8.25047714670421,8.25887035631845,8.25618316954816
1964-04-01,8.26701137862704,2.02506630405504,2.02506630405504,2.02506630405504,2.02506630405504,1.20440458680229,1.20440458680229,1.20440458680229,1.20440458680229,1.58708071715431,1.58708071715431,1.58708071715431,1.58708071715431,3.61214702120936,3.58767881454023,3.60175887100593,3.61214702120936,8.26475713316959,8.2731648698127,8.26701137862704
1964-07-01,8.28251360518444,2.13297300055867,2.13297300055867,2.13297300055867,2.13297300055867,1.09875829538898,1.09875829538898,1.09875829538898,1.09875829538898,1.47917402065069,1.47917402065069,1.47917402065069,1.47917402065069,3.61214702120936,3.60826514401218,3.56671531056751,3.61214702120936,8.2798130543153,8.28823610734555,8.28251360518444
