date,inflation,interest
1959 Q2,2.12464831299521,3.27851497867395
1959 Q3,2.66105402284933,3.72524177172691
1959 Q4,2.30077298837401,4.13868168856417
1960 Q1,1.2529856252678,4.13868168856417
1960 Q2,1.52470790358515,4.01693734066497
1960 Q3,1.55290308226641,3.32801217594954
1960 Q4,1.31353491811212,3.08826730421132
1961 Q1,0.679572664163652,3.08826730421132
1961 Q2,1.31759383374759,3.08826730421132
1961 Q3,1.73162610813676,3.08826730421132
1961 Q4,0.970303309600856,3.08826730421132
1962 Q1,1.47069153008764,3.08826730421132
1962 Q2,1.53541572355577,3.08826730421132
1962 Q3,1.30922850422891,3.08826730421132
1962 Q4,0.751420806412434,3.08826730421132
1963 Q1,1.32838733869768,3.08826730421132
1963 Q2,1.50793524291087,3.08826730421132
1963 Q3,1.53038508140349,3.52016272086786
1963 Q4,1.93114682439959,3.61214702120936
1964 Q1,1.68238637601189,3.61214702120936
1964 Q2,1.20440458680229,3.61214702120936
1964 Q3,1.09875829538898,3.61214702120936
1964 Q4,1.01437775753247,3.83045027850397
1965 Q1,1.50167263735127,4.11029805350924
1965 Q2,1.25841411442533,4.21992352259897
1965 Q3,1.22440280101651,4.21685814584531
1965 Q4,1.3389386514584,4.31555186751478
1966 Q1,1.98836174289416,4.72649646793577
1966 Q2,3.23252069238956,5.10722738097908
1966 Q3,3.28336388675751,5.63804232682092
1966 Q4,3.45453181524003,5.79996368504172
1967 Q1,2.1999359744067,5.00526084211861
1967 Q2,2.66850995683935,4.12754487708111
1967 Q3,3.60477457229607,4.02502276010723
1967 Q4,4.02837358186766,4.32233401790263
1968 Q1,4.52600538624051,4.9742962825988
1968 Q2,4.62899964763184,6.25163417086081
1968 Q3,4.43309189625521,6.21252141151565
1968 Q4,4.6387149082331,6.18303330052348
1969 Q1,4.35793339309643,6.88229431351561
1969 Q2,4.75634769804992,8.81202109932386
1969 Q3,4.57615249486227,9.53251867643343
1969 Q4,4.67375900249947,9.48751405496477
1970 Q1,4.34682404647344,9.06526949523405
1970 Q2,4.49467249701376,8.31704962651083
1970 Q3,4.40358863570845,7.03691276313105
1970 Q4,5.59766680920623,5.80544304768018
1971 Q1,5.03417458999003,3.99227211201898
1971 Q2,4.5389314077795,4.73588604406199
1971 Q3,3.74566920835669,5.70487771652861
1971 Q4,2.2842557675566,4.93164107518056
1972 Q1,3.81200207800705,3.65994589305181
1972 Q2,2.6980968791608,4.45553334357642
1972 Q3,2.98621471389573,4.92135095391593
